job_id,job_title,company,requirements,location,category,subcategory,type,salary
73460839,senior data scientist,caterpillar singapore,"Dealers training and support.
STU (Sales to users) validation and issue management resolution.
OLGA installation and baseline support and analysis.
OLGA deployment and ongoing data integrity.
STU & OLGA data validation for HELIOS deployment.
 
Bachelor’s degree, preferably in statistics, analytics, finance, market research, economics, mathematics, or a similar field with quantitative course work  
Must have advanced level of usage of Tableau, SQL and Alteryx
3 to 5 years of experience in analytics positions.
Deep knowledge of aftermarket applications
Experience with STU, OLGA and CDDW Data.
Must have demonstrated experience of translating analysis to insights.
Demonstrate thorough knowledge of Caterpillar Inc. - its products, services and dealers; its internal systems, processes, and procedures; and its relevant external influences (competitors, laws and regulations, market conditions, etc.) to meet or exceed customer expectations.
Demonstrate strong initiative to research and apply new methods to exceed customer expectations.
Comfortable working with large datasets and leveraging data and insights to make recommendations and influence others.
Highly organized with careful attention to details.
Must have strong presentation skills.    
Which of the following statements best describes your right to work in Singapore?
How many years' experience do you have as a Data Scientist?
Which of the following data analytics tools are you experienced with?


Insights on salary & in-demand skills


Reviews from people working in the industry

",west region,science & technology,"mathematics, statistics & information sciences",full time,
73430996,data analyst,vopak terminals singapore pte ltd,"Work with cross-functional teams in BU to understand department / use- case specific/ individual data needs & requirements, and identify opportunities to use data analysis to develop new strategies or improve existing working ways
Demonstrate understanding of the business to identify, analyze and interpret patterns or trends in data sets that help in improving business performance
Import data from various external and internal sources to bring meaningful insights into  the business
Develop strong relationships with Global DnA office for collaborations on data engineering and implementing of existing ready data solutions
Work independently to design & create effective data visualizations, dashboards & reports that supports business decisions making
Monitor & gather feedback on implemented solutions, to ensure value creation and also keeping the focus on continuously improving Vopak’s ‘customer experience’ 
Provide insights on value to business and make recommendations for further solution developments to increase our competitive edge over competitors
Champion data projects and initiatives the BU embarks on that create value for the organization (eg. T360, Automation of Monthly Scorecard, etc.)
Feature in business functions systems discussions, as the voice of the DnA department, to facilitate integration of systems
Run gap-analysis exercises to increase connectivity between our existing systems to contribute to achieving the full potential of our digital systems
Manage external connectivity requests from external stakeholders (eg. customers, government authorities, etc.)
Singapore BU representative for deployment of Global-led Data projects
Support initiatives on advanced and predictive analytics data, such as specialized software tools and functionalities
Guide & inspire business (leaders) by giving demo’s, workshops, training, etc.
Work with management, IT and other functions to determine organizational goals
Challenge the existing way of working vs a data-driven approach with all business functions
Run a ‘Data Champion’ programme, by identifying forward-looking and pro-data individuals, to further develop their capabilities and use cases
Regularly recognize successful data initiatives at the local level, to encourage adoption and conceptualization of such efforts
Academic degree in e.g. business informatics, econometrics, mathematics, IT or another data & analytics discipline.
3 to 5 years of relevant work experience
Excellent stakeholder management & communication skills to convey complex concepts to both technical and non-technical stakeholders
Possess strong verbal & written communication skills
Demonstrated strong teamwork skills, strong analytical and problem solving skills
Possess statistical skills and ability to work with large datasets
Experience in data models and reporting packages
Experience with agile scrum way of working
Experience with using SQL
Experience with Cloud data platform, data catalog tooling & data visualization tooling
Experience with data science platform tooling, and object-oriented/object function scripting languages like Python
Experience with AWS, Snowflake and Gitlab is a plus
Experience with software development is a plus
Data control & governance mindset
Business acumen
Which of the following statements best describes your right to work in Singapore?
How many years' experience do you have as a Data Analyst?


Insights on salary & in-demand skills


Reviews from people working in the industry

",west region,information & communication technology,database development & administration,full time,"$4,800 – $7,200 per month"
73534842,data analyst,sistic.com pte ltd,"Delve into our diverse event portfolio and devise innovative business solutions that resonate with our clients across all industries.
Cultivate exceptional client relationships, uncovering their needs to deliver tailor-made BI solutions that empower their growth.
Collaborate with our team of Data Engineers, Analysts, and Science gurus to build and maintain cutting-edge analysis and reporting capabilities.
Transform data into compelling narratives and insights, captivating stakeholders with your data storytelling abilities.
Embark on data mining and statistical expeditions, uncovering hidden gems that enhance our business performance.
Partner with teammates to architect robust data marts and introduce smart, adaptable metric frameworks that supercharge our analytics and streamline our BI processes.
Team up with cross-functional team members, wielding data as your weapon to solve their business challenges.
Uphold the highest standards of data quality across all our BI assets, ensuring the integrity of our decision-making processes.
Drive efficiency and resource optimization through continuous improvement in data processing strategies.
Champion data democratization across the organization, making data accessible and usable for all.
Share the benefits of our BI ecosystem with our business users, empowering them to tap into existing reports and insights.
Embrace change and ride the waves of evolution in the dynamic world of BI, adapting to new technologies and methodologies with enthusiasm.
Stand as the guardian of our data kingdom, meticulously maintaining our data bible, dictionary, and glossary for all our reports and dashboards.
At least 1-3 years of experience working in a BI or analytics function preferably.
Good working knowledge on SQL and R/Python to perform data querying, building BI models and conducting data analysis.
Experience in data analysis and deep-dive analysis
Strong data visualisation skills using Tableau, Qlik, PowerBI, Microstrategy or other relevant visualisation tools. 
Good understanding of ETL/ELT concepts and their relevant use cases
Experience in gathering BI requirements and structuring specifications to produce business-relevant datasets and ensure data quality of the dataset.
Passion for democratizing data effectively to the wider organization for self-serve
Keenness to innovate and improve the BI process beyond basic reporting, seeking ways to add value so that the organisation can consume data more effectively.
Strong communication skills, able to collaborate effectively with both sides of the business and technical divide.
A self-starter mindset who takes ownership and excels in a lean and fast-paced organisation.
Knowledge of Statistics & Machine Learning is a plus.
Team Player with the ability to work across a matrix environment in a fast-paced environment and constantly evolving environment
Mentorship and Career Guidance: Receive personalized mentorship and career guidance to fuel your professional growth and aspirations.
Inclusive and Collaborative Culture: Immerse yourself in an atmosphere of inclusion and collaboration, where diverse perspectives and teamwork drive innovation.
Regional Network Connections and Opportunities: Expand your network and access a wealth of opportunities through our regional connections.
Constant Innovation and Discovery Challenge: Embrace a culture of continuous innovation and discovery, where challenges become catalysts for growth.
Fun and Product-Focused Culture: Enjoy a vibrant and product-focused culture, where creativity and passion are celebrated.
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?
How many years' experience do you have as a Data Analyst?
How many years' experience do you have using SQL queries?


Insights on salary & in-demand skills


Reviews from people working in the industry

",east region,information & communication technology,business/systems analysts,full time,
73427498,algorithm engineer (uwl),dso national laboratories,"Which of the following statements best describes your right to work in Singapore?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,engineering,electrical/electronic engineering,full time,
73527215,"engineer iii, software",thermo fisher scientific,"Responsible for requirements analysis, design, development, implementation, and unit testing of software
Work independently in a multi-functional team to develop software per specifications and development standards
Understand business needs, analyze workflows, and carry out integrations across different sub-system components.
How will you get here?
Individuals with a bachelor's degree in Computer Science, Engineering, or Sciences. Master’s or higher degree is great, but not required for the position
5 - 10 years of software development experience in the software industry, preferably involving hardware and software interactions. Candidates with less experience are welcome to apply and may be considered for a junior position.
Strong with common data structures, design patterns, object-oriented design, and algorithms used in programming.
Solid background in core Java.
A good understanding of Google Guice, Apache CXF/web stack technologies is desired.
Previous experience developing web applications using front-end technologies like VueJS, Electron is a plus.
Previous experience working with clinical workflows is a plus
Excellent teamwork and collaboration skills. Ability to manage high-priority tasks and adapt to changes in priorities. Effectively communicates and illustrates ideas; contributes critically and positively to a team.",central region,information & communication technology,developers/programmers,full time,
73427808,research scientist / engineer (fibre optics),dso national laboratories,"Which of the following statements best describes your right to work in Singapore?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,science & technology,materials sciences,full time,
73427555,computer vision engineer (guided systems),dso national laboratories,"Which of the following statements best describes your right to work in Singapore?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,information & communication technology,engineering - software,full time,
73393909,data scientist (contract),ng teng fong general hospital,"Work with Clinical Leads to evaluate clinical programmes in order to identify areas for improvement, including the identification of predictive factors and trends
Organise information and analytics use cases to support data and analytics related activities for the organisation
Developing and implementing machine learning models for predictive and prescriptive analysis
Apply technical expertise in quantitative analysis, data mining, predictive modelling, as well as the visualisation and presentation of data to derive insights that value-add to management decision making (e.g. hypothesis testing, validation of business cases, development of data products such as predictive models or Tableau dashboards etc)
Conduct literature reviews to support uptake of evidence based practices
Conduct data analysis and evaluation using statistical and quantitative data analysis software. 
Utilizing programming languages like Python or R for data analysis and model development.
Submit and present reports, findings and updates at management level platforms and committees
Communicating findings and recommendations to both technical and non-technical stakeholders.
Collaborate with multidisciplinary team to improve clinical outcomes and patients’ satisfaction
Good Postgraduate/ Bachelor’s Degree in Statistics, Business Analytics, Health Economics, Public Health or equivalent 
Strong background in statistical modelling, machine learning, and experience in developing end-to-end data analytics solutions.
Proficient with programming In Python and AI related frameworks such as Scikit-Learn, TensorFlow or PyTorch.
Experience in NLP and familiarity with healthcare data is a plus.
Experience in Large Language Models, Generative Pre-trained Transformer models, foundation models etc. is a plus.
Proficiency in AI and ML platforms and services from cloud providers such as AWS, GCP, Azure is a plus.
Excellent communication and interpersonal skills, able to work with a diverse group of stakeholders
Excellent project management and organisational skills, able to handle multiple tasks and prioritise projects to meet deadline 
Excellent statistical and data management skills, proficient in analytics tools such as Tableau and R
Which of the following statements best describes your right to work in Singapore?


Insights on salary & in-demand skills


Reviews from people working in the industry

",west region,science & technology,"mathematics, statistics & information sciences",contract/temp,
73458672,data science engineer (python),gmp group hq,"Gather and analyze user requirements and translate them to business solutions
Design, write and implement efficient code to preprocess data, train, evaluate, test and deploy models
Plan, manage and lead data science projects
Develop machine learning and deep learning models for production level
Improve and manage existing models and systems
Guide the internal team on technical details and project development
Present insightful data outcomes to project stakeholders
Bachelor’s Degree in Computer Science, Science/Engineering field or equivalent
At least 2 years’ experience in Data Science related function
Proficient in Python programming and common libraries for data analytics, machine learning and deep learning (pandas, numpy, scikit learn, keras etc)
Good understanding of machine learning/deep learning algorithms and their applications
Knowledge in use of SQL and/or noSQL databases (postgres, oracle, MongoDB etc.)
Familiarity with implementing models at production level
Experience with data visualization tools such as Power BI, Tableau
Hands-on practical experience on other data science development in languages such as R, Java, C++, etc
Experienced in manufacturing industry is advantageous
Which of the following statements best describes your right to work in Singapore?
What's your expected monthly basic salary?
How many years' experience do you have as a Data Science Engineer?


Research salaries and job trends


Access free tools, templates and articles that help you stand out


Discover pathways to a huge range of careers

",west region,information & communication technology,management,full time,"$4,000 – $4,800 per month"
73502015,data analyst (sql | phyton | data science| petrochemical | oil & gas) - west,talent trader group pte ltd,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.
Determining opportunities to utilize data analysis to establish a new strategy. 
Improve business performance by determining, analyzing, and interpreting patterns and trends in data.
Gather information from internal and external sources to provide a company with insightful data.
Cultivate a strong connection with the global office to facilitate cooperation on data engineering and the use of ready-to-use data solutions.
Plan and produce useful dashboards, reports, and data visualizations.
Ensure value creation and improve customer experience by monitoring and collecting feedback on implemented solutions. 
Providing assistance with ways to improve competitiveness and offering insights on business value. 
Promoting data projects and initiatives, handling requests for external connectivity, assisting with system integration and performing gap analysis. 
Serve as the Singapore representative for global-led data projects. 
Facilitates the use of specialized software tools and features for advanced analytics initiatives.
Identify organizational goals in collaboration with management, IT, and other departments.
Implement a Data Champion programme to determine forward-looking and pro data individuals. 
Identify successful local data projects to encourage their uptake and development.
Bachelor’s Degree in IT, Mathematics or related to data & analytics field. 
Minimum 4-6 years of related working experience. 
Prior experience in reporting packages, data models, SQL, Cloud data, data visualization/data catalog tooling. 
Prior experience with Snowflake, AWS, Gitlab, data science platform tooling and Python. 
Previous experience in software development is advantage. ",central region,science & technology,"mathematics, statistics & information sciences",full time,
